               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,             0.02399,           0.0050917,                   0,              0.2448,             0.18519,             0.13902,            0.052112,            0.061702,            0.014867,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.023305,           0.0051503,                   0,             0.21072,             0.19183,             0.15582,            0.043834,            0.063783,            0.015576,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.022624,           0.0051476,                   0,             0.20182,             0.17037,              0.1322,            0.053052,            0.060781,            0.015417,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.023334,           0.0052304,                   0,             0.22596,             0.20741,             0.14701,            0.061728,            0.061919,            0.014978,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.023536,           0.0050584,                   0,             0.30697,             0.17778,             0.16049,            0.058161,            0.060117,            0.014862,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,             0.02355,           0.0050377,                   0,             0.24623,             0.14815,             0.12926,            0.043086,            0.062095,            0.016753,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.023632,           0.0050808,                   0,             0.17625,             0.13333,             0.11555,            0.035492,            0.062483,            0.015852,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.023903,           0.0051061,                   0,             0.20161,             0.16296,             0.12769,            0.045328,            0.061907,            0.015275,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.023695,           0.0051011,                   0,             0.16817,             0.12593,            0.093366,            0.030385,            0.062518,            0.015524,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.022664,           0.0048585,                   0,             0.23063,             0.13323,             0.11182,            0.037994,            0.064335,            0.015367,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.022443,           0.0049833,                   0,             0.17039,             0.14074,            0.099033,             0.03014,            0.066379,            0.015292,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.023183,           0.0049527,                   0,              0.1872,             0.11111,            0.084463,            0.032537,            0.063418,            0.016448,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.023829,           0.0050578,                   0,             0.19423,             0.15556,              0.1077,            0.035129,            0.065077,            0.015176,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.022505,           0.0050438,                   0,              0.1666,             0.16289,             0.11737,            0.042858,            0.064748,            0.015636,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.023255,           0.0050154,                   0,             0.26916,             0.20733,             0.17256,            0.057656,            0.063572,            0.015044,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,             0.02223,           0.0047984,                   0,             0.18024,             0.16287,             0.12501,            0.040805,             0.06336,            0.015754,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.022383,           0.0047036,                   0,             0.20426,             0.14074,             0.10717,            0.037966,            0.063421,            0.015634,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.023102,           0.0048206,                   0,             0.22257,             0.18519,             0.14572,            0.052041,            0.065638,            0.016025,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.022518,           0.0048912,                   0,              0.1824,             0.15556,             0.11122,            0.035415,            0.064881,            0.014952,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.022965,           0.0047161,                   0,             0.16296,             0.16296,              0.1116,            0.043435,            0.063713,            0.016399,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,              0.0224,           0.0048167,                   0,             0.26657,             0.11846,             0.12336,            0.039711,            0.060544,            0.015372,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.021873,            0.004585,                   0,             0.37398,            0.088889,              0.1065,            0.035626,            0.064359,            0.016966,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.021672,           0.0046552,                   0,             0.13789,            0.096296,            0.073557,            0.027823,            0.063178,            0.015368,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.022123,           0.0045873,                   0,             0.15813,             0.14815,             0.11749,            0.033668,            0.064203,            0.014947,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.021221,           0.0046375,                   0,             0.16359,            0.074074,            0.061966,            0.024977,            0.062233,            0.017247,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.022502,           0.0047766,                   0,             0.16008,            0.096007,             0.07584,            0.022827,            0.062978,            0.016544,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.022401,           0.0045847,                   0,             0.17269,              0.1037,            0.080225,            0.023222,            0.062384,            0.016361,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.023347,           0.0045818,                   0,             0.17897,             0.14074,             0.11353,            0.042062,            0.062124,            0.016256,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.022325,           0.0046912,                   0,             0.19694,             0.14074,             0.12053,            0.042337,            0.065077,            0.016534,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.022593,           0.0047303,                   0,             0.23589,             0.15556,             0.12805,            0.043321,            0.062493,            0.016849,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.022397,           0.0047927,                   0,             0.15817,             0.14074,             0.10194,            0.030276,            0.064796,            0.016228,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.021431,            0.004503,                   0,             0.12668,             0.12593,             0.10372,             0.03471,            0.064951,            0.016442,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.022033,           0.0045574,                   0,             0.19686,             0.18519,             0.14911,            0.046094,            0.062435,            0.016077,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.021422,           0.0044928,                   0,             0.18745,             0.13333,              0.1119,            0.035037,             0.06464,            0.017516,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.019692,           0.0043382,                   0,             0.25506,             0.17754,             0.13783,            0.040523,             0.06463,            0.016987,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.020489,           0.0042533,                   0,               0.229,             0.18519,             0.16372,             0.05131,            0.063063,            0.016746,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.021054,           0.0044575,                   0,             0.14752,             0.13333,            0.089785,            0.025627,            0.063735,            0.016125,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.021204,           0.0045412,                   0,             0.19652,             0.17037,             0.14604,            0.044799,            0.063307,            0.015551,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.020483,           0.0044379,                   0,             0.20613,             0.19259,             0.13372,            0.039223,            0.063215,            0.016498,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.021227,           0.0044343,                   0,             0.20292,             0.19259,             0.13685,            0.038558,            0.062454,             0.01589,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.020729,           0.0045336,                   0,             0.17635,             0.15543,             0.10073,            0.037571,            0.062547,            0.016324,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.020387,           0.0042727,                   0,             0.32234,             0.14815,             0.14841,            0.044999,            0.062842,            0.016327,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.020599,            0.004249,                   0,             0.13317,             0.10356,            0.082693,            0.024884,             0.06586,            0.017104,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.020664,           0.0044224,                   0,             0.11561,             0.11111,            0.069458,            0.023741,            0.065256,            0.016196,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.020156,           0.0041886,                   0,             0.16935,             0.16296,             0.12328,            0.033832,            0.064062,            0.016964,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.020407,           0.0042943,                   0,             0.18581,             0.14074,             0.10944,            0.031584,            0.062935,            0.016663,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,            0.020496,           0.0041166,                   0,              0.2185,             0.15556,             0.12139,              0.0313,            0.063358,            0.017427,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.020298,           0.0042242,                   0,             0.16283,             0.14074,            0.095175,            0.030206,            0.062587,             0.01665,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.020099,           0.0039667,                   0,             0.18802,             0.16296,             0.10663,            0.032904,             0.06119,             0.01762,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.020548,           0.0041972,                   0,             0.16636,             0.15556,             0.11141,            0.041745,             0.06283,            0.016914,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.018872,           0.0039799,                   0,             0.15808,             0.14074,             0.10073,            0.039309,            0.061383,            0.018121,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.018956,           0.0039475,                   0,             0.19463,             0.11111,            0.089164,            0.032486,            0.063873,            0.017691,                   0,           0.0068906,           0.0068906,           0.0068906
