Landfill_ID,Landfill_Name,Landfill_Alias,State,Address,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
464,Macon Bibb Walker Road MSWL,Macon-Walker Road Phase II,GA,920 11th Street,Macon,Bibb,31201,32.8,-83.611,Public,1971,2025,Open,129,,,"4,388,318","29,047"
2235,Glen's Sanitary Landfill Inc.,,MI,518 East Traverse Highway,Maple City,Leelanau,49664,44.78978,-85.841,Private,1975,2169,Open,57,,"18,488,935","4,383,684","28,902"
695,Hardin County Landfill,Pearl Hollow Landfill,KY,1620 Audubon Trace,Elizabethtown,Hardin,42701,37.7361,-85.6994,Public,1997,2050,Open,63.5,,"6,007,632","4,363,691","169,766"
6,Calhoun County SLF,Anniston SLF,AL,3625 Morrisville Road,Anniston,Calhoun,36201,33.675,-85.92,Public,1969,1993,Closed,,,,"4,350,000","7,252"
1289,County Environmental Landfill of Clarion,"Leeper LF, County Environmental Incorporated, Clarion LF",PA,344 Walley Run Drive,Leeper,Clarion,16233,41.394,-79.289,Private,1989,2008,Closed,60.1,,"4,628,164","4,349,195","188,559"
12203,Wexford County Landfill,,MI,990 US 131 North,Manton,Wexford,49663,44.3528,-85.3994,Private,1977,2060,Open,33.2,,"12,987,450","4,347,179","199,545"
1295,Kelly Run SLF,,PA,1500 Hayden Boulevard,Elizabeth,Allegheny,15037,40.255541,-79.878898,Private,1965,2028,Open,104.6,,,"4,345,241","180,523"
11548,Saline County RWMD LF,Benton LF,AR,18511 W. Sardis Road,Bauxite,Saline,72011,34.5606,-92.4818,Private,1992,2042,Open,51.5,,"8,075,586","4,337,789","196,492"
674,Blue Ridge RDF,Veolia ES Blue Ridge Landfill Inc.,KY,2700 Winchester Road,Irvine,Estill,40336,37.7269,-83.9855,Private,1984,2040,Open,60,140,"7,116,317","4,324,407","112,312"
12206,Defiance County Landfill,,OH,13207 Canal Road,Defiance,Defiance,43512,41.252,-84.412224,Public,1969,2048,Open,69.7,,"10,752,153","4,321,903","165,116"
167,Harney Lane SLF,,CA,1/4 Mi E Of Jack Tone Road,Lodi,San Joaquin,95240,38.0994,-121.1364,Public,1948,1992,Closed,,,,"4,320,000","97,720"
958,Industrial Land Reclaiming (ILR) LF,,NJ,Mill Lane,Edison,Middlesex,,40.487695,-74.35906,Private,1963,1985,Closed,,,,"4,302,213",
499,Envirofil of Illinois Inc.,Leroy Brown & Sons Inc.,IL,13998 E. 1400th Street,Macomb,McDonough,61455,40.484333,-90.638,Private,1970,2166,Open,70.9,,"11,345,974","4,282,481","46,031"
2441,El Centro Landfill,Corpus Landfill,TX,"3189 County Road 69
INT CR 30",Robstown,Nueces,78380,27.739063,-97.652096,Private,2000,2058,Open,51.3,,"13,777,928","4,276,684","190,840"
11100,Casper Balefill,City of Casper Regional Solid Waste Facility,WY,1886 N. Station Road,Evansville,Natrona,82636,42.873192,-106.283097,Public,1966,2072,Open,112.5,,"7,383,092","4,272,481","127,804"
10402,Savannah-Dean Forest Road SL,,GA,1327 Dean Forest Road,Savannah,Chatham,31405,32.078,-81.22,Public,1984,2021,Open,101,,,"4,269,383","91,942"
1225,Southern OK Regional Disposal LF,Ardmore SLF,OK,31 Sord Drive,Ardmore,Carter,73402,34.1891,-97.0382,Public,1978,2036,Open,61.7,140,"18,645,326","4,262,210","192,610"
2240,Northern Oaks Recycling & Disposal Facility,,MI,513 North County Farm Road,Harrison,Clare,48625,43.993,-84.798,Private,1992,2077,Open,50.2,,"13,114,094","4,260,544","127,830"
2194,Gray Wolf Regional Landfill,Grey Wolf Landfill,AZ,23355 East Highway 169,Dewey,Yavapai,86327,34.5167,-112.0483,Private,1993,2169,Open,67.2,,"26,435,399","4,243,117","137,174"
